peakChr,peakStart,peakEnd,peakLength,peakStrand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS
chr1,3568784,3569107,324,*,NA,0,Promoter (<=1kb),1,3569129,3652765,83637,1,7161,uc001akp.3,-22
chr1,3568784,3569107,324,*,NA,0,Promoter (<=1kb),1,3569129,3652765,83637,1,7161,uc001akp.3,-22
chr1,3689538,3689861,324,*,NA,0,Promoter (<=1kb),1,3689352,3692546,3195,1,388588,uc001akw.4,186
chr1,3773294,3773617,324,*,NA,0,Promoter (<=1kb),1,3728645,3773797,45153,2,9731,uc001aky.2,180
chr1,3816464,3816785,322,*,NA,0,Promoter (<=1kb),1,3805697,3816857,11161,2,339448,uc001alf.3,72
chr1,3816464,3816785,322,*,NA,0,Promoter (<=1kb),1,3805697,3816857,11161,2,339448,uc001alf.3,72
chr1,6052062,6052385,324,*,NA,0,Promoter (<=1kb),1,6052358,6161253,108896,1,8514,uc009vlv.2,0
chr1,6052062,6052385,324,*,NA,0,Promoter (<=1kb),1,6052358,6161253,108896,1,8514,uc009vlv.2,0
chr1,6052770,6053004,235,*,NA,0,Promoter (<=1kb),1,5937153,6052533,115381,2,261734,uc009vlt.2,-237
chr1,6052770,6053004,235,*,NA,0,Promoter (<=1kb),1,5937153,6052533,115381,2,261734,uc009vlt.2,-237
chr1,6240450,6240773,324,*,NA,0,Promoter (<=1kb),1,6161847,6240194,78348,2,26038,uc001amb.2,-256
chr1,6240450,6240773,324,*,NA,0,Promoter (<=1kb),1,6161847,6240194,78348,2,26038,uc001amb.2,-256
chr1,6240450,6240773,324,*,NA,0,Promoter (<=1kb),1,6161847,6240194,78348,2,26038,uc001amb.2,-256
chr1,6259358,6259578,221,*,NA,0,Promoter (<=1kb),1,6245080,6259679,14600,2,6146,uc001amd.3,101
chr1,6266106,6266429,324,*,NA,0,Promoter (<=1kb),1,6266189,6268366,2178,1,388591,uc001amf.1,0
chr1,6452973,6453296,324,*,NA,0,Promoter (<=1kb),1,6324332,6453826,129495,2,11332,uc001amt.3,530
chr1,6452973,6453296,324,*,NA,0,Promoter (<=1kb),1,6324332,6453826,129495,2,11332,uc001amt.3,530
chr1,6452973,6453296,324,*,NA,0,Promoter (<=1kb),1,6324332,6453826,129495,2,11332,uc001amt.3,530
chr1,6452973,6453296,324,*,NA,0,Promoter (<=1kb),1,6324332,6453826,129495,2,11332,uc001amt.3,530
chr1,6550184,6550250,67,*,NA,0,Promoter (<=1kb),1,6526152,6550654,24503,2,57449,uc001anl.2,404
chr1,6614433,6614534,102,*,NA,0,Promoter (<=1kb),1,6581407,6614658,33252,2,79707,uc001ans.3,124
chr1,6663066,6663246,181,*,NA,0,Promoter (<=1kb),1,6650784,6662929,12146,2,9903,uc001aoa.3,-137
chr1,6663066,6663246,181,*,NA,0,Promoter (<=1kb),1,6650784,6662929,12146,2,9903,uc001aoa.3,-137
chr1,6673276,6673488,213,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,-268
chr1,6673276,6673488,213,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,-268
chr1,6673276,6673488,213,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,-268
chr1,6673851,6674138,288,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,95
chr1,6673851,6674138,288,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,95
chr1,6673851,6674138,288,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,95
chr1,6673851,6674138,288,*,NA,0,Promoter (<=1kb),1,6673756,6684093,10338,1,148479,uc001aob.4,95
chr1,6685305,6685614,310,*,NA,0,Promoter (<=1kb),1,6685210,6695646,10437,1,90326,uc001aoe.2,95
chr1,6685305,6685614,310,*,NA,0,Promoter (<=1kb),1,6685210,6695646,10437,1,90326,uc001aoe.2,95
chr1,6685305,6685614,310,*,NA,0,Promoter (<=1kb),1,6685210,6695646,10437,1,90326,uc001aoe.2,95
chr1,6685305,6685614,310,*,NA,0,Promoter (<=1kb),1,6685210,6695646,10437,1,90326,uc001aoe.2,95
chr1,6844829,6844988,160,*,NA,0,Promoter (<=1kb),1,6845384,6932107,86724,1,23261,uc001aoh.3,-396
chr1,6844829,6844988,160,*,NA,0,Promoter (<=1kb),1,6845384,6932107,86724,1,23261,uc001aoh.3,-396
chr1,6845550,6845706,157,*,NA,0,Promoter (<=1kb),1,6845384,7829766,984383,1,23261,uc001aoi.3,166
chr1,6845550,6845706,157,*,NA,0,Promoter (<=1kb),1,6845384,7829766,984383,1,23261,uc001aoi.3,166
chr1,6846122,6846445,324,*,NA,0,Promoter (<=1kb),1,6845384,7829766,984383,1,23261,uc001aoi.3,738
chr1,6846122,6846445,324,*,NA,0,Promoter (<=1kb),1,6845384,7829766,984383,1,23261,uc001aoi.3,738
chr1,7831456,7831779,324,*,NA,0,Promoter (<=1kb),1,7831329,7841492,10164,1,9341,uc001aol.3,127
chr1,7831456,7831779,324,*,NA,0,Promoter (<=1kb),1,7831329,7841492,10164,1,9341,uc001aol.3,127
chr1,7831456,7831779,324,*,NA,0,Promoter (<=1kb),1,7831329,7841492,10164,1,9341,uc001aol.3,127
chr1,7831456,7831779,324,*,NA,0,Promoter (<=1kb),1,7831329,7841492,10164,1,9341,uc001aol.3,127
chr1,8484005,8484252,248,*,NA,0,Promoter (<=1kb),1,8412464,8483747,71284,2,473,uc001apd.3,-258
chr1,8484005,8484252,248,*,NA,0,Promoter (<=1kb),1,8412464,8483747,71284,2,473,uc001apd.3,-258
chr1,8484005,8484252,248,*,NA,0,Promoter (<=1kb),1,8412464,8483747,71284,2,473,uc001apd.3,-258
chr1,8878007,8878155,149,*,NA,0,Promoter (<=1kb),1,8412464,8877699,465236,2,473,uc001apf.3,-308
chr1,8878007,8878155,149,*,NA,0,Promoter (<=1kb),1,8412464,8877699,465236,2,473,uc001apf.3,-308
chr1,8939030,8939353,324,*,NA,0,Promoter (<=1kb),1,8921059,8939151,18093,2,2023,uc001apj.2,0
chr1,8939030,8939353,324,*,NA,0,Promoter (<=1kb),1,8921059,8939151,18093,2,2023,uc001apj.2,0
chr1,9188921,9189244,324,*,NA,0,Promoter (<=1kb),1,9164476,9189229,24754,2,80045,uc001apq.1,0
chr1,9188921,9189244,324,*,NA,0,Promoter (<=1kb),1,9164476,9189229,24754,2,80045,uc001apq.1,0
chr1,9294865,9295119,255,*,NA,0,Promoter (<=1kb),1,9294863,9331394,36532,1,9563,uc001apt.3,2
chr1,9294865,9295119,255,*,NA,0,Promoter (<=1kb),1,9294863,9331394,36532,1,9563,uc001apt.3,2
chr1,9352362,9352685,324,*,NA,0,Promoter (<=1kb),1,9352941,9429590,76650,1,80176,uc010oae.2,-256
chr1,9352362,9352685,324,*,NA,0,Promoter (<=1kb),1,9352941,9429590,76650,1,80176,uc010oae.2,-256
chr1,9352362,9352685,324,*,NA,0,Promoter (<=1kb),1,9352941,9429590,76650,1,80176,uc010oae.2,-256
chr1,9648861,9648997,137,*,NA,0,Promoter (<=1kb),1,9648932,9665020,16089,1,199953,uc001apy.3,0
chr1,9648861,9648997,137,*,NA,0,Promoter (<=1kb),1,9648932,9665020,16089,1,199953,uc001apy.3,0
chr1,9712007,9712178,172,*,NA,0,Promoter (<=1kb),1,9711790,9789172,77383,1,5293,uc001aqb.4,217
chr1,9712007,9712178,172,*,NA,0,Promoter (<=1kb),1,9711790,9789172,77383,1,5293,uc001aqb.4,217
chr1,9884193,9884515,323,*,NA,0,Promoter (<=1kb),1,9789079,9884550,95472,2,22883,uc001aqh.3,35
chr1,9884193,9884515,323,*,NA,0,Promoter (<=1kb),1,9789079,9884550,95472,2,22883,uc001aqh.3,35
chr1,10459296,10459619,324,*,NA,0,Promoter (<=1kb),1,10459085,10480201,21117,1,5226,uc010oak.2,211
chr1,10459296,10459619,324,*,NA,0,Promoter (<=1kb),1,10459085,10480201,21117,1,5226,uc010oak.2,211
chr1,10459296,10459619,324,*,NA,0,Promoter (<=1kb),1,10459085,10480201,21117,1,5226,uc010oak.2,211
chr1,10532388,10532525,138,*,NA,0,Promoter (<=1kb),1,10520603,10532613,12011,2,1676,uc001arj.3,88
chr1,10856837,10856994,158,*,NA,0,Promoter (<=1kb),1,10707263,10856733,149471,2,54897,uc001arp.2,-104
chr1,11072800,11073123,324,*,NA,0,Promoter (<=1kb),1,11072679,11085549,12871,1,23435,uc010oap.2,121
chr1,11119230,11119421,192,*,NA,0,Promoter (<=1kb),1,11114649,11120091,5443,2,6723,uc001arz.1,670
chr1,11120330,11120413,84,*,NA,0,Promoter (<=1kb),1,11114649,11120091,5443,2,6723,uc001arz.1,-239
chr1,11322388,11322536,149,*,NA,0,Promoter (<=1kb),1,11166588,11322608,156021,2,2475,uc001asd.3,72
chr1,11333312,11333618,307,*,NA,0,Promoter (<=1kb),1,11333255,11348491,15237,1,29914,uc001asg.3,57
chr1,11333312,11333618,307,*,NA,0,Promoter (<=1kb),1,11333255,11348491,15237,1,29914,uc001asg.3,57
chr1,11333312,11333618,307,*,NA,0,Promoter (<=1kb),1,11333255,11348491,15237,1,29914,uc001asg.3,57
chr1,11740984,11741307,324,*,NA,0,Promoter (<=1kb),1,11734537,11741495,6959,2,10459,uc001asp.3,188
chr1,11740984,11741307,324,*,NA,0,Promoter (<=1kb),1,11734537,11741495,6959,2,10459,uc001asp.3,188
chr1,11740984,11741307,324,*,NA,0,Promoter (<=1kb),1,11734537,11741495,6959,2,10459,uc001asp.3,188
chr1,11865626,11865845,220,*,NA,0,Promoter (<=1kb),1,11862938,11865470,2533,2,4524,uc009vnd.1,-156
chr1,11866296,11866459,164,*,NA,0,Promoter (<=1kb),1,11845787,11866160,20374,2,4524,uc001atc.2,-136
chr1,11866296,11866459,164,*,NA,0,Promoter (<=1kb),1,11845787,11866160,20374,2,4524,uc001atc.2,-136
chr1,11994754,11994940,187,*,NA,0,Promoter (<=1kb),1,11994724,12035599,40876,1,5351,uc010obb.2,30
chr1,11994754,11994940,187,*,NA,0,Promoter (<=1kb),1,11994724,12035599,40876,1,5351,uc010obb.2,30
chr1,12040542,12040709,168,*,NA,0,Promoter (<=1kb),1,12040238,12073572,33335,1,9927,uc009vni.3,304
chr1,12040542,12040709,168,*,NA,0,Promoter (<=1kb),1,12040238,12073572,33335,1,9927,uc009vni.3,304
chr1,12040542,12040709,168,*,NA,0,Promoter (<=1kb),1,12040238,12073572,33335,1,9927,uc009vni.3,304
chr1,12290128,12290259,132,*,NA,0,Promoter (<=1kb),1,12290113,12572098,281986,1,55187,uc001atw.3,15
chr1,12290128,12290259,132,*,NA,0,Promoter (<=1kb),1,12290113,12572098,281986,1,55187,uc001atw.3,15
chr1,12656150,12656335,186,*,NA,0,Promoter (<=1kb),1,12640551,12656106,15556,2,9249,uc001aue.1,-44
chr1,14076365,14076534,170,*,NA,0,Promoter (<=1kb),1,14075856,14151574,75719,1,7799,uc009vof.3,509
chr1,14076365,14076534,170,*,NA,0,Promoter (<=1kb),1,14075856,14151574,75719,1,7799,uc009vof.3,509
chr1,14925362,14925490,129,*,NA,0,Promoter (<=1kb),1,14925213,15444544,519332,1,23254,uc001avm.4,149
chr1,14925362,14925490,129,*,NA,0,Promoter (<=1kb),1,14925213,15444544,519332,1,23254,uc001avm.4,149
chr1,15250553,15250876,324,*,NA,0,Promoter (<=1kb),1,15250625,15394651,144027,1,23254,uc001avo.2,0
chr1,15250553,15250876,324,*,NA,0,Promoter (<=1kb),1,15250625,15394651,144027,1,23254,uc001avo.2,0
chr1,15480274,15480555,282,*,NA,0,Promoter (<=1kb),1,15480229,15546974,66746,1,55092,uc001avy.3,45
chr1,15480274,15480555,282,*,NA,0,Promoter (<=1kb),1,15480229,15546974,66746,1,55092,uc001avy.3,45
chr1,15573764,15573923,160,*,NA,0,Promoter (<=1kb),1,15573768,15672019,98252,1,114827,uc001awa.1,0
chr1,15736443,15736748,306,*,NA,0,Promoter (<=1kb),1,15736391,15756839,20449,1,79180,uc001awh.2,52
chr1,15736443,15736748,306,*,NA,0,Promoter (<=1kb),1,15736391,15756839,20449,1,79180,uc001awh.2,52
chr1,15944052,15944183,132,*,NA,0,Promoter (<=1kb),1,15943953,15987552,43600,1,84301,uc001awx.2,99
chr1,16011062,16011385,324,*,NA,0,Promoter (<=1kb),1,16010827,16061264,50438,1,23207,uc010obo.2,235
chr1,16011062,16011385,324,*,NA,0,Promoter (<=1kb),1,16010827,16061264,50438,1,23207,uc010obo.2,235
chr1,16011062,16011385,324,*,NA,0,Promoter (<=1kb),1,16010827,16061264,50438,1,23207,uc010obo.2,235
chr1,16011062,16011385,324,*,NA,0,Promoter (<=1kb),1,16010827,16061264,50438,1,23207,uc010obo.2,235
chr1,16085366,16085689,324,*,NA,0,Promoter (<=1kb),1,16085255,16113084,27830,1,54751,uc001axe.1,111
chr1,16085366,16085689,324,*,NA,0,Promoter (<=1kb),1,16085255,16113084,27830,1,54751,uc001axe.1,111
chr1,16173804,16173954,151,*,NA,0,Promoter (<=1kb),1,16174359,16266950,92592,1,23013,uc001axk.1,-405
chr1,16174373,16174648,276,*,NA,0,Promoter (<=1kb),1,16160710,16174642,13933,2,729614,uc001axj.2,0
chr1,16174373,16174648,276,*,NA,0,Promoter (<=1kb),1,16160710,16174642,13933,2,729614,uc001axj.2,0
chr1,16174868,16175084,217,*,NA,0,Promoter (<=1kb),1,16160710,16174642,13933,2,729614,uc001axj.2,-226
chr1,16302350,16302547,198,*,NA,0,Promoter (<=1kb),1,16268364,16302627,34264,2,7709,uc001axl.4,80
chr1,16302350,16302547,198,*,NA,0,Promoter (<=1kb),1,16268364,16302627,34264,2,7709,uc001axl.4,80
chr1,16482409,16482555,147,*,NA,0,Promoter (<=1kb),1,16450832,16482582,31751,2,1969,uc001aya.2,27
chr1,16693893,16694216,324,*,NA,0,Promoter (<=1kb),1,16693525,16724643,31119,1,26099,uc031plh.1,368
chr1,16940184,16940410,227,*,NA,0,Promoter (<=1kb),1,16931913,16940100,8188,2,55672,uc001azc.2,-84
chr1,16952216,16952414,199,*,NA,0,Promoter (<=1kb),1,16944751,16952994,8244,2,84809,uc010ocf.2,580
chr1,17338103,17338422,320,*,NA,0,Promoter (<=1kb),1,17312453,17338423,25971,2,23400,uc001baa.2,1
chr1,17338103,17338422,320,*,NA,0,Promoter (<=1kb),1,17312453,17338423,25971,2,23400,uc001baa.2,1
chr1,17338103,17338422,320,*,NA,0,Promoter (<=1kb),1,17312453,17338423,25971,2,23400,uc001baa.2,1
chr1,17866347,17866573,227,*,NA,0,Promoter (<=1kb),1,17866330,18024370,158041,1,55160,uc001ban.3,17
chr1,19228905,19228981,77,*,NA,0,Promoter (<=1kb),1,19197924,19229293,31370,2,8659,uc001bbb.3,312
chr1,19282799,19283122,324,*,NA,0,Promoter (<=1kb),1,19230774,19282826,52053,2,126917,uc001bbd.2,0
chr1,19536496,19536739,244,*,NA,0,Promoter (<=1kb),1,19401000,19536746,135747,2,23352,uc001bbi.3,7
chr1,19536496,19536739,244,*,NA,0,Promoter (<=1kb),1,19401000,19536746,135747,2,23352,uc001bbi.3,7
chr1,19578111,19578308,198,*,NA,0,Promoter (<=1kb),1,19578075,19586622,8548,1,51154,uc001bbs.3,36
chr1,19812244,19812564,321,*,NA,0,Promoter (<=1kb),1,19665267,19812066,146800,2,832,uc021ohr.1,-178
chr1,19812244,19812564,321,*,NA,0,Promoter (<=1kb),1,19665267,19812066,146800,2,832,uc021ohr.1,-178
chr1,19812244,19812564,321,*,NA,0,Promoter (<=1kb),1,19665267,19812066,146800,2,832,uc021ohr.1,-178
chr1,19812244,19812564,321,*,NA,0,Promoter (<=1kb),1,19665267,19812066,146800,2,832,uc021ohr.1,-178
chr1,19812244,19812564,321,*,NA,0,Promoter (<=1kb),1,19665267,19812066,146800,2,832,uc021ohr.1,-178
chr1,20126392,20126715,324,*,NA,0,Promoter (<=1kb),1,20008706,20126410,117705,2,255104,uc001bcn.3,0
chr1,20126392,20126715,324,*,NA,0,Promoter (<=1kb),1,20008706,20126410,117705,2,255104,uc001bcn.3,0
chr1,20126392,20126715,324,*,NA,0,Promoter (<=1kb),1,20008706,20126410,117705,2,255104,uc001bcn.3,0
chr1,20126392,20126715,324,*,NA,0,Promoter (<=1kb),1,20008706,20126410,117705,2,255104,uc001bcn.3,0
chr1,20209044,20209367,324,*,NA,0,Promoter (<=1kb),1,20208888,20239437,30550,1,23252,uc001bcs.4,156
chr1,20811971,20812294,324,*,NA,0,Promoter (<=1kb),1,20808884,20812728,3845,2,55450,uc001bdh.3,434
chr1,20811971,20812294,324,*,NA,0,Promoter (<=1kb),1,20808884,20812728,3845,2,55450,uc001bdh.3,434
chr1,20812874,20813050,177,*,NA,0,Promoter (<=1kb),1,20808884,20812728,3845,2,55450,uc001bdh.3,-146
chr1,20879835,20880158,324,*,NA,0,Promoter (<=1kb),1,20878932,20881513,2582,1,163933,uc001bdj.3,903
chr1,20959979,20960269,291,*,NA,0,Promoter (<=1kb),1,20959948,20978004,18057,1,65018,uc001bdm.3,31
chr1,20959979,20960269,291,*,NA,0,Promoter (<=1kb),1,20959948,20978004,18057,1,65018,uc001bdm.3,31
chr1,21044392,21044715,324,*,NA,0,Promoter (<=1kb),1,20990507,21044317,53811,2,57576,uc001bds.4,-75
chr1,21059401,21059598,198,*,NA,0,Promoter (<=1kb),1,21046225,21059330,13106,2,400745,uc001bdu.1,-71
chr1,21112896,21113155,260,*,NA,0,Promoter (<=1kb),1,21069171,21113124,43954,2,50809,uc001bdv.1,0
chr1,21112896,21113155,260,*,NA,0,Promoter (<=1kb),1,21069171,21113124,43954,2,50809,uc001bdv.1,0
chr1,21113434,21113757,324,*,NA,0,Promoter (<=1kb),1,21069171,21113799,44629,2,50809,uc010odh.1,42
