"score","og_df_row","winnerNo"
78,245,370
77,246,371
64,246,372
72,247,373
74,247,374
75,248,375
62,248,376
55,248,377
74,249,378
60,250,379
61,250,380
77,251,381
69,251,382
57,252,383
62,252,384
52,252,385
70,253,386
91,253,387
82,253,388
80,253,389
73,254,390
55,254,391
62,254,392
77,254,393
55,255,394
59,255,395
80,256,396
54,257,397
66,257,398
55,258,399
53,259,400
60,261,401
52,262,402
91,262,403
52,263,404
102,263,405
66,265,406
61,265,407
82,267,408
71,267,409
53,268,410
53,268,411
83,268,412
53,268,413
61,269,414
54,269,415
55,269,416
97,270,417
71,271,418
68,272,419
69,272,420
82,272,421
75,274,422
68,274,423
55,276,424
61,277,425
67,279,426
69,282,427
87,283,428
69,283,429
53,283,430
80,284,431
56,285,432
69,285,433
52,287,434
79,288,435
52,289,436
79,292,437
85,293,438
81,293,439
61,294,440
81,294,441
61,294,442
88,295,443
60,297,444
90,297,445
90,298,446
72,298,447
67,299,448
53,299,449
55,299,450
76,300,451
78,300,452
67,303,453
53,306,454
56,307,455
75,309,456
54,309,457
62,309,458
63,309,459
62,309,460
68,310,461
60,310,462
54,310,463
63,311,464
87,311,465
63,311,466
78,311,467
55,311,468
69,312,469
52,312,470
75,313,471
54,314,472
53,315,473
68,316,474
55,316,475
66,318,476
62,318,477
52,318,478
94,318,479
52,319,480
112,319,481
81,319,482
67,320,483
79,320,484
69,320,485
67,320,486
55,320,487
83,320,488
70,321,489
87,321,490
81,321,491
81,322,492
83,326,493
54,328,494
55,328,495
65,329,496
63,329,497
76,329,498
60,330,499
58,333,500
52,334,501
87,334,502
89,336,503
59,336,504
80,337,505
64,337,506
85,337,507
70,338,508
55,338,509
62,338,510
70,339,511
79,340,512
87,340,513
56,340,514
104,341,515
70,341,516
113,343,517
69,343,518
53,345,519
61,345,520
81,345,521
67,348,522
77,348,523
56,349,524
69,349,525
69,349,526
94,350,527
61,350,528
89,350,529
86,350,530
95,351,531
75,353,532
57,353,533
55,353,534
58,355,535
72,356,536
54,357,537
56,357,538
54,358,539
72,358,540
58,360,541
72,360,542
59,360,543
72,360,544
59,360,545
53,361,546
59,364,547
75,364,548
54,364,549
66,365,550
55,365,551
62,367,552
54,367,553
56,367,554
86,368,555
85,370,556
55,370,557
63,370,558
90,371,559
65,371,560
65,372,561
67,373,562
106,373,563
87,374,564
73,374,565
100,375,566
74,375,567
55,375,568
78,375,569
55,376,570
64,378,571
77,378,572
82,379,573
54,380,574
52,381,575
61,381,576
61,381,577
80,382,578
61,382,579
63,382,580
89,382,581
52,382,582
60,384,583
87,384,584
68,384,585
72,385,586
62,385,587
63,388,588
83,388,589
64,389,590
89,390,591
63,390,592
62,391,593
74,391,594
52,391,595
57,394,596
89,396,597
93,397,598
75,398,599
86,398,600
83,398,601
69,400,602
78,400,603
65,401,604
83,401,605
79,402,606
62,403,607
54,403,608
54,404,609
52,404,610
62,404,611
77,406,612
61,408,613
61,408,614
66,410,615
99,410,616
63,411,617
56,411,618
68,412,619
52,412,620
52,413,621
82,413,622
118,416,623
66,416,624
59,416,625
59,417,626
60,417,627
52,418,628
69,418,629
70,419,630
54,419,631
96,419,632
55,420,633
53,420,634
85,421,635
59,422,636
63,422,637
77,422,638
62,423,639
55,423,640
66,423,641
54,425,642
54,429,643
55,429,644
91,429,645
119,430,646
59,434,647
79,434,648
78,435,649
54,435,650
65,437,651
54,437,652
59,438,653
86,438,654
91,439,655
65,440,656
59,441,657
80,441,658
92,442,659
62,444,660
83,444,661
82,444,662
60,444,663
61,445,664
63,445,665
59,445,666
78,446,667
59,446,668
73,446,669
66,446,670
72,447,671
55,447,672
74,448,673
93,448,674
69,451,675
65,451,676
59,451,677
55,452,678
64,454,679
62,454,680
84,455,681
61,456,682
81,457,683
52,458,684
79,458,685
54,459,686
62,460,687
65,461,688
67,461,689
57,461,690
84,462,691
63,462,692
71,463,693
92,463,694
79,463,695
84,463,696
60,464,697
56,464,698
90,464,699
59,467,700
63,467,701
66,468,702
67,468,703
91,470,704
63,470,705
73,470,706
63,471,707
84,471,708
65,471,709
67,472,710
62,475,711
55,477,712
73,477,713
70,479,714
61,480,715
58,480,716
71,481,717
75,482,718
78,482,719
86,482,720
102,484,721
69,484,722
54,485,723
64,486,724
60,487,725
76,487,726
72,488,727
77,488,728
65,489,729
61,489,730
52,492,731
78,493,732
86,493,733
59,493,734
54,493,735
67,493,736
54,494,737
95,495,738
86,496,739
57,498,740
63,499,741
73,501,742
55,501,743
72,502,744
52,502,745
55,502,746
59,502,747
85,503,748
56,504,749
88,506,750
65,507,751
68,507,752
59,508,753
64,508,754
69,508,755
95,508,756
78,510,757
66,510,758
52,513,759
61,517,760
60,517,761
58,518,762
103,518,763
66,520,764
71,520,765
93,520,766
53,521,767
82,522,768
100,522,769
56,524,770
69,525,771
55,525,772
89,526,773
62,526,774
63,527,775
88,527,776
84,528,777
52,528,778
66,528,779
62,530,780
64,532,781
67,536,782
66,537,783
52,537,784
89,537,785
63,537,786
63,538,787
71,538,788
57,541,789
59,541,790
55,542,791
56,542,792
86,543,793
76,543,794
69,543,795
61,543,796
56,544,797
52,544,798
63,544,799
60,545,800
52,545,801
52,546,802
61,546,803
65,547,804
81,547,805
68,548,806
55,549,807
52,549,808
74,551,809
54,551,810
61,551,811
56,553,812
62,555,813
61,556,814
63,557,815
89,558,816
58,558,817
82,558,818
83,559,819
64,560,820
66,560,821
81,561,822
76,561,823
70,561,824
55,562,825
55,562,826
56,563,827
57,564,828
82,565,829
109,566,830
108,566,831
53,566,832
88,567,833
116,567,834
68,567,835
80,568,836
56,568,837
79,569,838
92,569,839
59,570,840
69,571,841
89,571,842
54,572,843
84,572,844
53,572,845
70,573,846
71,573,847
86,574,848
64,574,849
75,575,850
71,575,851
64,576,852
63,576,853
67,577,854
90,577,855
108,577,856
60,578,857
82,578,858
64,579,859
95,580,860
71,581,861
69,581,862
78,583,863
91,585,864
57,585,865
88,586,866
63,586,867
56,587,868
78,587,869
64,587,870
52,589,871
67,590,872
53,593,873
62,593,874
53,595,875
56,595,876
52,597,877
96,598,878
67,598,879
59,598,880
66,598,881
56,599,882
66,599,883
95,599,884
75,600,885
85,600,886
68,601,887
99,601,888
73,602,889
69,602,890
61,604,891
68,605,892
104,605,893
55,605,894
71,605,895
61,606,896
65,607,897
65,607,898
72,609,899
62,610,900
58,611,901
60,611,902
76,611,903
76,612,904
62,613,905
63,613,906
64,613,907
60,614,908
69,615,909
55,615,910
55,615,911
73,616,912
78,617,913
74,618,914
92,618,915
66,619,916
56,619,917
71,619,918
73,620,919
78,621,920
62,621,921
111,622,922
73,622,923
107,622,924
74,623,925
67,623,926
71,624,927
55,624,928
52,624,929
87,625,930
60,626,931
88,626,932
61,626,933
71,627,934
86,627,935
74,628,936
86,629,937
55,629,938
66,629,939
52,629,940
79,631,941
89,631,942
72,631,943
62,635,944
52,638,945
71,638,946
58,639,947
74,639,948
71,640,949
55,640,950
63,640,951
58,640,952
58,641,953
70,641,954
68,642,955
53,642,956
53,644,957
55,644,958
63,644,959
82,647,960
100,648,961
63,648,962
53,648,963
93,648,964
62,649,965
95,649,966
52,649,967
71,650,968
76,650,969
53,650,970
63,652,971
55,652,972
81,652,973
88,653,974
52,655,975
65,656,976
56,656,977
56,656,978
63,658,979
62,658,980
64,658,981
81,659,982
58,661,983
53,661,984
63,662,985
52,662,986
67,662,987
78,663,988
70,663,989
90,663,990
103,664,991
66,666,992
74,667,993
55,667,994
67,669,995
99,669,996
99,670,997
61,670,998
63,670,999
65,670,1000
57,671,1001
69,671,1002
63,671,1003
62,672,1004
109,672,1005
86,673,1006
63,673,1007
93,675,1008
53,675,1009
85,676,1010
76,676,1011
57,677,1012
55,677,1013
58,678,1014
87,680,1015
59,682,1016
58,683,1017
61,683,1018
78,684,1019
95,685,1020
58,686,1021
81,686,1022
101,686,1023
83,687,1024
53,687,1025
61,689,1026
80,689,1027
57,689,1028
54,689,1029
57,689,1030
72,689,1031
67,690,1032
92,690,1033
94,690,1034
64,691,1035
100,691,1036
60,691,1037
54,692,1038
64,692,1039
64,693,1040
65,694,1041
56,694,1042
59,694,1043
61,695,1044
89,695,1045
88,699,1046
72,699,1047
67,700,1048
67,701,1049
66,702,1050
88,703,1051
60,704,1052
70,705,1053
65,706,1054
54,706,1055
113,706,1056
91,707,1057
89,708,1058
78,710,1059
52,711,1060
66,712,1061
106,712,1062
68,713,1063
57,713,1064
79,713,1065
74,717,1066
79,717,1067
55,717,1068
95,718,1069
60,719,1070
60,720,1071
74,721,1072
109,722,1073
57,722,1074
56,723,1075
69,723,1076
83,723,1077
76,723,1078
82,723,1079
59,724,1080
61,724,1081
54,725,1082
90,725,1083
88,727,1084
56,727,1085
76,727,1086
71,727,1087
55,727,1088
64,728,1089
55,730,1090
75,732,1091
92,733,1092
78,734,1093
62,734,1094
64,735,1095
91,735,1096
54,735,1097
69,735,1098
78,736,1099
53,740,1100
74,740,1101
71,740,1102
86,741,1103
61,742,1104
78,742,1105
61,743,1106
85,743,1107
66,744,1108
66,744,1109
55,744,1110
97,745,1111
63,745,1112
62,745,1113
55,747,1114
84,747,1115
79,748,1116
59,749,1117
52,750,1118
54,752,1119
71,752,1120
55,753,1121
85,753,1122
62,753,1123
78,754,1124
61,754,1125
72,754,1126
58,755,1127
52,757,1128
61,757,1129
74,757,1130
70,758,1131
58,761,1132
72,763,1133
60,764,1134
65,765,1135
85,765,1136
113,766,1137
68,766,1138
72,767,1139
79,767,1140
85,770,1141
56,774,1142
79,774,1143
54,776,1144
67,777,1145
66,779,1146
83,779,1147
94,780,1148
78,784,1149
102,784,1150
66,784,1151
72,784,1152
81,785,1153
75,785,1154
59,785,1155
72,785,1156
57,787,1157
71,788,1158
67,788,1159
71,790,1160
115,790,1161
66,791,1162
60,791,1163
55,793,1164
70,796,1165
98,796,1166
82,796,1167
68,799,1168
59,799,1169
52,799,1170
64,799,1171
115,800,1172
55,800,1173
55,801,1174
69,801,1175
55,804,1176
63,804,1177
62,805,1178
62,806,1179
58,806,1180
91,807,1181
55,808,1182
86,808,1183
164,810,1184
89,811,1185
64,812,1186
73,812,1187
55,813,1188
76,813,1189
53,813,1190
53,813,1191
77,813,1192
89,814,1193
79,814,1194
57,814,1195
80,814,1196
60,815,1197
52,816,1198
67,816,1199
61,817,1200
54,817,1201
78,818,1202
53,818,1203
113,819,1204
52,820,1205
55,820,1206
67,820,1207
77,821,1208
53,821,1209
87,821,1210
55,822,1211
55,823,1212
67,823,1213
55,823,1214
81,823,1215
60,827,1216
84,827,1217
65,827,1218
81,827,1219
93,828,1220
55,829,1221
64,829,1222
100,829,1223
103,830,1224
85,830,1225
56,831,1226
71,832,1227
76,832,1228
54,834,1229
81,834,1230
59,834,1231
60,835,1232
79,835,1233
72,835,1234
73,837,1235
55,838,1236
71,839,1237
58,839,1238
82,839,1239
86,841,1240
86,842,1241
54,842,1242
79,843,1243
52,843,1244
70,843,1245
57,845,1246
57,845,1247
74,848,1248
53,848,1249
52,848,1250
79,849,1251
55,850,1252
55,850,1253
76,850,1254
77,851,1255
55,852,1256
69,854,1257
61,854,1258
68,854,1259
82,855,1260
84,856,1261
96,856,1262
71,857,1263
81,858,1264
70,861,1265
86,861,1266
85,862,1267
66,862,1268
84,865,1269
82,865,1270
64,866,1271
79,866,1272
83,867,1273
61,867,1274
69,867,1275
57,867,1276
57,867,1277
69,868,1278
63,868,1279
94,868,1280
54,869,1281
52,871,1282
75,871,1283
85,871,1284
74,871,1285
69,872,1286
67,872,1287
55,872,1288
105,873,1289
57,873,1290
67,873,1291
71,873,1292
67,874,1293
67,874,1294
83,874,1295
81,874,1296
82,875,1297
81,875,1298
70,878,1299
70,878,1300
52,879,1301
62,879,1302
75,880,1303
63,881,1304
75,881,1305
54,881,1306
57,883,1307
61,883,1308
62,883,1309
75,883,1310
77,883,1311
69,884,1312
66,884,1313
61,885,1314
58,885,1315
64,886,1316
77,886,1317
75,887,1318
70,887,1319
84,887,1320
54,888,1321
62,888,1322
61,889,1323
52,890,1324
64,890,1325
101,891,1326
91,892,1327
60,892,1328
59,894,1329
60,895,1330
65,897,1331
91,897,1332
70,897,1333
70,898,1334
84,900,1335
62,901,1336
57,902,1337
62,902,1338
63,903,1339
64,903,1340
79,903,1341
80,903,1342
62,904,1343
64,905,1344
65,905,1345
55,905,1346
68,905,1347
52,906,1348
66,906,1349
70,907,1350
66,907,1351
55,908,1352
56,909,1353
64,909,1354
68,910,1355
77,911,1356
54,912,1357
52,912,1358
56,913,1359
60,913,1360
54,913,1361
61,914,1362
89,914,1363
61,917,1364
65,917,1365
70,917,1366
66,921,1367
79,921,1368
65,921,1369
75,922,1370
60,922,1371
85,922,1372
70,922,1373
110,923,1374
64,924,1375
72,924,1376
61,924,1377
69,924,1378
108,925,1379
73,926,1380
63,926,1381
67,926,1382
59,927,1383
71,927,1384
61,928,1385
76,930,1386
58,933,1387
63,934,1388
52,934,1389
74,935,1390
71,935,1391
53,935,1392
60,936,1393
87,936,1394
76,936,1395
65,936,1396
60,937,1397
52,937,1398
69,938,1399
82,938,1400
63,938,1401
83,939,1402
57,939,1403
99,940,1404
66,940,1405
64,940,1406
52,940,1407
90,940,1408
62,941,1409
57,943,1410
53,944,1411
74,944,1412
59,945,1413
59,946,1414
52,947,1415
86,947,1416
77,947,1417
78,951,1418
78,951,1419
86,951,1420
59,952,1421
76,952,1422
80,952,1423
65,953,1424
52,955,1425
131,957,1426
54,957,1427
64,957,1428
84,958,1429
55,960,1430
57,960,1431
53,961,1432
87,962,1433
71,962,1434
52,962,1435
79,964,1436
54,964,1437
94,965,1438
69,965,1439
56,966,1440
62,967,1441
57,967,1442
67,968,1443
121,968,1444
89,968,1445
66,970,1446
53,971,1447
60,973,1448
58,973,1449
54,974,1450
60,974,1451
83,974,1452
71,974,1453
55,974,1454
52,975,1455
60,976,1456
72,977,1457
69,977,1458
89,978,1459
54,978,1460
73,979,1461
89,980,1462
55,980,1463
75,980,1464
95,980,1465
72,981,1466
90,982,1467
121,982,1468
61,982,1469
52,982,1470
92,982,1471
114,983,1472
86,983,1473
78,984,1474
68,984,1475
73,984,1476
66,985,1477
69,985,1478
115,985,1479
72,987,1480
55,988,1481
52,990,1482
56,992,1483
78,994,1484
55,995,1485
106,995,1486
81,995,1487
102,995,1488
66,996,1489
67,998,1490
69,998,1491
77,999,1492
135,999,1493
82,1000,1494
53,1000,1495
52,1001,1496
52,1001,1497
53,1002,1498
91,1002,1499
82,1002,1500
65,1002,1501
113,1003,1502
59,1003,1503
57,1004,1504
93,1005,1505
59,1005,1506
66,1006,1507
63,1007,1508
62,1007,1509
58,1009,1510
68,1010,1511
59,1010,1512
89,1011,1513
58,1011,1514
70,1012,1515
98,1012,1516
64,1013,1517
55,1013,1518
78,1013,1519
55,1013,1520
64,1013,1521
72,1015,1522
84,1016,1523
55,1017,1524
74,1017,1525
106,1017,1526
92,1018,1527
74,1018,1528
85,1018,1529
53,1019,1530
79,1019,1531
77,1019,1532
55,1019,1533
60,1020,1534
76,1020,1535
69,1020,1536
80,1021,1537
53,1022,1538
61,1022,1539
66,1022,1540
72,1022,1541
59,1024,1542
55,1025,1543
62,1025,1544
100,1025,1545
77,1025,1546
67,1026,1547
73,1026,1548
60,1026,1549
91,1026,1550
60,1027,1551
91,1027,1552
58,1028,1553
69,1028,1554
68,1029,1555
71,1029,1556
60,1031,1557
83,1032,1558
54,1033,1559
83,1033,1560
75,1035,1561
70,1035,1562
92,1035,1563
60,1036,1564
73,1038,1565
77,1038,1566
57,1039,1567
60,1039,1568
69,1039,1569
90,1039,1570
68,1040,1571
71,1041,1572
57,1041,1573
77,1041,1574
70,1042,1575
54,1042,1576
80,1043,1577
78,1043,1578
55,1043,1579
74,1043,1580
84,1043,1581
65,1044,1582
85,1044,1583
52,1044,1584
65,1045,1585
73,1046,1586
63,1048,1587
75,1048,1588
77,1048,1589
83,1050,1590
65,1055,1591
61,1056,1592
59,1057,1593
72,1057,1594
84,1058,1595
67,1059,1596
57,1059,1597
77,1060,1598
72,1060,1599
63,1061,1600
69,1061,1601
55,1062,1602
56,1062,1603
65,1062,1604
104,1062,1605
71,1063,1606
52,1064,1607
52,1067,1608
60,1068,1609
73,1069,1610
79,1069,1611
79,1070,1612
71,1070,1613
53,1071,1614
65,1072,1615
62,1072,1616
69,1073,1617
62,1074,1618
53,1074,1619
58,1075,1620
64,1076,1621
74,1076,1622
53,1077,1623
57,1077,1624
59,1077,1625
55,1078,1626
83,1078,1627
92,1078,1628
58,1080,1629
52,1081,1630
54,1082,1631
54,1082,1632
54,1082,1633
62,1083,1634
88,1083,1635
94,1083,1636
60,1084,1637
72,1084,1638
56,1085,1639
63,1085,1640
88,1085,1641
78,1088,1642
61,1089,1643
95,1089,1644
63,1089,1645
64,1090,1646
107,1090,1647
91,1091,1648
74,1093,1649
68,1093,1650
70,1093,1651
65,1093,1652
52,1093,1653
65,1094,1654
68,1094,1655
54,1095,1656
84,1096,1657
59,1096,1658
68,1097,1659
92,1097,1660
63,1097,1661
56,1098,1662
55,1098,1663
66,1099,1664
63,1099,1665
61,1099,1666
61,1100,1667
90,1100,1668
56,1100,1669
86,1100,1670
57,1102,1671
119,1102,1672
54,1102,1673
53,1102,1674
87,1103,1675
59,1103,1676
71,1103,1677
84,1103,1678
52,1104,1679
62,1104,1680
67,1107,1681
74,1108,1682
74,1109,1683
52,1109,1684
66,1109,1685
70,1110,1686
75,1110,1687
54,1114,1688
60,1114,1689
67,1115,1690
58,1115,1691
76,1116,1692
57,1116,1693
54,1117,1694
91,1118,1695
91,1118,1696
91,1119,1697
66,1119,1698
54,1119,1699
56,1120,1700
72,1121,1701
67,1121,1702
65,1121,1703
65,1124,1704
59,1124,1705
69,1125,1706
94,1126,1707
52,1127,1708
52,1127,1709
68,1128,1710
60,1128,1711
71,1128,1712
74,1129,1713
96,1129,1714
69,1129,1715
52,1130,1716
52,1130,1717
62,1130,1718
53,1131,1719
52,1133,1720
56,1135,1721
60,1136,1722
52,1137,1723
52,1138,1724
70,1138,1725
54,1140,1726
75,1140,1727
56,1140,1728
52,1141,1729
59,1142,1730
87,1142,1731
103,1142,1732
64,1143,1733
91,1143,1734
52,1146,1735
70,1148,1736
65,1148,1737
73,1148,1738
62,1148,1739
73,1149,1740
71,1149,1741
52,1150,1742
73,1150,1743
53,1151,1744
60,1151,1745
66,1152,1746
59,1152,1747
59,1152,1748
70,1152,1749
81,1152,1750
64,1154,1751
69,1154,1752
65,1154,1753
113,1155,1754
103,1155,1755
52,1156,1756
87,1158,1757
94,1160,1758
52,1160,1759
64,1160,1760
76,1160,1761
79,1161,1762
84,1162,1763
74,1163,1764
67,1164,1765
68,1164,1766
67,1164,1767
65,1164,1768
95,1164,1769
97,1165,1770
59,1166,1771
53,1166,1772
60,1166,1773
116,1167,1774
63,1167,1775
88,1167,1776
54,1167,1777
90,1168,1778
72,1168,1779
82,1169,1780
83,1171,1781
69,1171,1782
65,1172,1783
82,1173,1784
58,1173,1785
52,1174,1786
73,1174,1787
94,1177,1788
53,1182,1789
64,1182,1790
81,1182,1791
63,1182,1792
54,1184,1793
79,1184,1794
67,1185,1795
69,1185,1796
109,1188,1797
78,1188,1798
57,1188,1799
65,1189,1800
52,1190,1801
67,1190,1802
58,1190,1803
65,1190,1804
57,1190,1805
70,1191,1806
69,1191,1807
86,1191,1808
82,1192,1809
71,1193,1810
58,1193,1811
100,1194,1812
57,1194,1813
91,1195,1814
57,1196,1815
74,1196,1816
64,1196,1817
78,1196,1818
56,1196,1819
72,1197,1820
66,1198,1821
79,1199,1822
64,1199,1823
52,1200,1824
76,1200,1825
86,1200,1826
52,1200,1827
66,1201,1828
53,1203,1829
60,1203,1830
69,1204,1831
59,1204,1832
56,1204,1833
59,1206,1834
66,1208,1835
67,1208,1836
73,1208,1837
101,1208,1838
53,1209,1839
68,1210,1840
63,1213,1841
54,1213,1842
62,1213,1843
70,1214,1844
74,1214,1845
95,1217,1846
101,1217,1847
61,1218,1848
68,1218,1849
70,1219,1850
75,1220,1851
63,1220,1852
71,1220,1853
52,1220,1854
85,1222,1855
76,1223,1856
102,1225,1857
99,1225,1858
94,1225,1859
89,1226,1860
74,1227,1861
82,1228,1862
82,1229,1863
53,1230,1864
90,1230,1865
57,1230,1866
52,1231,1867
56,1231,1868
54,1232,1869
87,1232,1870
89,1232,1871
109,1233,1872
53,1233,1873
55,1233,1874
59,1233,1875
52,1233,1876
53,1234,1877
56,1236,1878
72,1236,1879
102,1237,1880
67,1237,1881
92,1237,1882
55,1238,1883
52,1238,1884
67,1238,1885
67,1239,1886
87,1239,1887
61,1241,1888
61,1243,1889
78,1244,1890
57,1245,1891
78,1245,1892
57,1246,1893
78,1246,1894
78,1246,1895
52,1247,1896
59,1247,1897
55,1248,1898
60,1248,1899
84,1249,1900
61,1249,1901
64,1249,1902
59,1251,1903
65,1252,1904
55,1253,1905
61,1253,1906
65,1253,1907
86,1254,1908
80,1254,1909
69,1254,1910
64,1254,1911
69,1255,1912
61,1255,1913
78,1255,1914
85,1255,1915
52,1255,1916
70,1256,1917
112,1256,1918
70,1257,1919
57,1259,1920
103,1259,1921
60,1259,1922
92,1259,1923
53,1260,1924
65,1261,1925
90,1261,1926
60,1261,1927
111,1262,1928
57,1262,1929
54,1263,1930
69,1264,1931
52,1267,1932
53,1267,1933
52,1267,1934
53,1268,1935
61,1269,1936
59,1269,1937
67,1270,1938
74,1271,1939
92,1271,1940
105,1271,1941
66,1272,1942
58,1272,1943
73,1273,1944
70,1274,1945
89,1274,1946
79,1275,1947
73,1275,1948
62,1275,1949
52,1276,1950
61,1277,1951
82,1277,1952
65,1278,1953
84,1278,1954
63,1279,1955
60,1279,1956
53,1279,1957
78,1281,1958
59,1282,1959
56,1282,1960
55,1285,1961
66,1285,1962
85,1286,1963
68,1286,1964
55,1286,1965
80,1286,1966
66,1287,1967
78,1290,1968
92,1291,1969
92,1292,1970
55,1292,1971
89,1293,1972
52,1293,1973
72,1293,1974
71,1295,1975
84,1295,1976
61,1295,1977
63,1295,1978
63,1296,1979
59,1296,1980
55,1296,1981
55,1296,1982
103,1297,1983
54,1298,1984
67,1300,1985
67,1301,1986
78,1301,1987
74,1302,1988
86,1302,1989
70,1302,1990
66,1304,1991
62,1304,1992
56,1305,1993
65,1305,1994
81,1305,1995
75,1307,1996
62,1307,1997
71,1307,1998
79,1308,1999
58,1308,2000
94,1309,2001
62,1309,2002
61,1310,2003
63,1311,2004
98,1311,2005
94,1312,2006
60,1313,2007
71,1313,2008
52,1314,2009
63,1314,2010
82,1315,2011
69,1315,2012
61,1316,2013
53,1318,2014
54,1318,2015
80,1320,2016
70,1320,2017
70,1322,2018
53,1323,2019
73,1323,2020
66,1324,2021
57,1325,2022
66,1325,2023
67,1325,2024
87,1325,2025
65,1326,2026
57,1326,2027
61,1326,2028
82,1328,2029
75,1331,2030
76,1332,2031
83,1332,2032
60,1332,2033
66,1332,2034
74,1334,2035
83,1336,2036
56,1337,2037
82,1337,2038
67,1337,2039
67,1338,2040
62,1338,2041
104,1338,2042
65,1339,2043
78,1340,2044
75,1342,2045
65,1342,2046
54,1343,2047
85,1343,2048
55,1345,2049
119,1345,2050
85,1346,2051
78,1348,2052
72,1348,2053
57,1349,2054
83,1349,2055
57,1351,2056
80,1352,2057
